,Entity,Year,Life expectancy,process_date
0,Australia,1802,34.049999,2025-07-24
1,Australia,1803,34.049999,2025-07-24
2,Australia,1804,34.049999,2025-07-24
3,Australia,1805,34.049999,2025-07-24
4,Australia,1806,34.049999,2025-07-24
5,Australia,1807,34.049999,2025-07-24
6,Australia,1808,34.049999,2025-07-24
7,Australia,1809,34.049999,2025-07-24
8,Australia,1810,34.049999,2025-07-24
9,Australia,1811,34.049999,2025-07-24
10,Australia,1812,34.049999,2025-07-24
11,Australia,1813,34.049999,2025-07-24
12,Australia,1814,34.049999,2025-07-24
13,Australia,1815,34.049999,2025-07-24
14,Australia,1816,34.049999,2025-07-24
15,Australia,1817,34.049999,2025-07-24
16,Australia,1818,34.049999,2025-07-24
17,Australia,1819,34.049999,2025-07-24
18,Australia,1820,34.049999,2025-07-24
19,Australia,1821,34.049999,2025-07-24
20,Australia,1822,34.049999,2025-07-24
21,Australia,1823,34.049999,2025-07-24
22,Australia,1824,34.049999,2025-07-24
23,Australia,1825,34.049999,2025-07-24
24,Australia,1826,34.049999,2025-07-24
25,Australia,1827,34.049999,2025-07-24
26,Australia,1828,34.049999,2025-07-24
27,Australia,1829,34.049999,2025-07-24
28,Australia,1830,34.049999,2025-07-24
29,Australia,1831,34.049999,2025-07-24
30,Australia,1832,34.049999,2025-07-24
31,Australia,1833,34.049999,2025-07-24
32,Australia,1834,34.049999,2025-07-24
33,Australia,1835,34.049999,2025-07-24
34,Australia,1836,34.049999,2025-07-24
35,Australia,1837,34.049999,2025-07-24
36,Australia,1838,34.049999,2025-07-24
37,Australia,1839,34.049999,2025-07-24
38,Australia,1840,34.049999,2025-07-24
39,Australia,1841,34.049999,2025-07-24
40,Australia,1842,34.049999,2025-07-24
41,Australia,1843,34.049999,2025-07-24
42,Australia,1844,34.049999,2025-07-24
43,Australia,1845,34.049999,2025-07-24
44,Australia,1846,34.049999,2025-07-24
45,Australia,1847,34.049999,2025-07-24
46,Australia,1848,34.049999,2025-07-24
47,Australia,1849,34.049999,2025-07-24
48,Australia,1850,34.049999,2025-07-24
49,Australia,1851,34.049999,2025-07-24
50,Australia,1852,34.049999,2025-07-24
51,Australia,1853,34.049999,2025-07-24
52,Australia,1854,34.049999,2025-07-24
53,Australia,1855,34.049999,2025-07-24
54,Australia,1856,34.049999,2025-07-24
55,Australia,1857,34.049999,2025-07-24
56,Australia,1858,34.049999,2025-07-24
57,Australia,1859,34.049999,2025-07-24
58,Australia,1860,34.049999,2025-07-24
59,Australia,1861,34.049999,2025-07-24
60,Australia,1862,34.049999,2025-07-24
61,Australia,1863,34.049999,2025-07-24
62,Australia,1864,34.049999,2025-07-24
63,Australia,1865,34.049999,2025-07-24
64,Australia,1866,34.049999,2025-07-24
65,Australia,1867,34.049999,2025-07-24
66,Australia,1868,34.049999,2025-07-24
67,Australia,1869,34.049999,2025-07-24
68,Australia,1870,34.049999,2025-07-24
69,Australia,1871,34.579215999999995,2025-07-24
70,Australia,1872,35.108433000000005,2025-07-24
71,Australia,1873,35.637646000000004,2025-07-24
72,Australia,1874,36.166862,2025-07-24
73,Australia,1875,36.696079,2025-07-24
74,Australia,1876,37.225296,2025-07-24
75,Australia,1877,37.754509000000006,2025-07-24
76,Australia,1878,38.283726,2025-07-24
77,Australia,1879,38.812943,2025-07-24
78,Australia,1880,39.342155,2025-07-24
79,Australia,1881,39.871371999999994,2025-07-24
80,Australia,1882,40.400589000000004,2025-07-24
81,Australia,1883,40.929806,2025-07-24
82,Australia,1884,41.459019,2025-07-24
83,Australia,1885,41.988234999999996,2025-07-24
84,Australia,1886,42.517452,2025-07-24
85,Australia,1887,43.046665000000004,2025-07-24
86,Australia,1888,43.575882,2025-07-24
87,Australia,1889,44.105098999999996,2025-07-24
88,Australia,1890,44.634315,2025-07-24
89,Australia,1891,45.163528,2025-07-24
90,Australia,1892,45.692745,2025-07-24
91,Australia,1893,46.221962,2025-07-24
92,Australia,1894,46.751175,2025-07-24
93,Australia,1895,47.280392,2025-07-24
94,Australia,1896,47.809608000000004,2025-07-24
95,Australia,1897,48.338825,2025-07-24
96,Australia,1898,48.868038,2025-07-24
97,Australia,1899,49.397255,2025-07-24
98,Australia,1900,49.926472,2025-07-24
99,Australia,1901,50.455684999999995,2025-07-24
100,Australia,1902,50.984901,2025-07-24
101,Australia,1903,51.514117999999996,2025-07-24
102,Australia,1904,52.043335,2025-07-24
103,Australia,1905,52.572548,2025-07-24
104,Australia,1906,53.101765,2025-07-24
105,Australia,1907,53.630981000000006,2025-07-24
106,Australia,1908,54.160194,2025-07-24
107,Australia,1909,54.689411,2025-07-24
108,Australia,1910,55.218628,2025-07-24
109,Australia,1911,55.747845,2025-07-24
110,Australia,1912,56.277058,2025-07-24
111,Australia,1913,56.806274,2025-07-24
112,Australia,1914,57.335491000000005,2025-07-24
113,Australia,1915,57.864704,2025-07-24
114,Australia,1916,58.393921,2025-07-24
115,Australia,1917,58.923138,2025-07-24
116,Australia,1918,54.802391,2025-07-24
117,Australia,1919,59.981567000000005,2025-07-24
118,Australia,1920,60.510783999999994,2025-07-24
119,Australia,1921,61.040001000000004,2025-07-24
120,Australia,1922,62.889998999999996,2025-07-24
121,Australia,1923,61.73,2025-07-24
122,Australia,1924,62.529999,2025-07-24
123,Australia,1925,63.220001,2025-07-24
124,Australia,1926,62.939999,2025-07-24
125,Australia,1927,62.91,2025-07-24
126,Australia,1928,62.959998999999996,2025-07-24
127,Australia,1929,63.150002,2025-07-24
128,Australia,1930,64.959999,2025-07-24
129,Australia,1931,65.389999,2025-07-24
130,Australia,1932,65.690002,2025-07-24
131,Australia,1933,65.519997,2025-07-24
132,Australia,1934,64.879997,2025-07-24
133,Australia,1935,65.150002,2025-07-24
134,Australia,1936,65.269997,2025-07-24
135,Australia,1937,65.83000200000001,2025-07-24
136,Australia,1938,65.870003,2025-07-24
137,Australia,1939,65.82,2025-07-24
138,Australia,1940,66.260002,2025-07-24
139,Australia,1941,66.139999,2025-07-24
140,Australia,1942,65.879997,2025-07-24
141,Australia,1943,66.400002,2025-07-24
142,Australia,1944,68.029999,2025-07-24
143,Australia,1945,68.459999,2025-07-24
144,Australia,1946,67.980003,2025-07-24
145,Australia,1947,68.589996,2025-07-24
146,Australia,1948,68.510002,2025-07-24
147,Australia,1949,69.129997,2025-07-24
148,Australia,1950,69.019997,2025-07-24
149,Australia,1951,68.720001,2025-07-24
150,Australia,1952,69.120003,2025-07-24
151,Australia,1953,69.699997,2025-07-24
152,Australia,1954,69.849998,2025-07-24
153,Australia,1955,70.16999799999999,2025-07-24
154,Australia,1956,70.050003,2025-07-24
155,Australia,1957,70.33000200000001,2025-07-24
156,Australia,1958,70.879997,2025-07-24
157,Australia,1959,70.449997,2025-07-24
158,Australia,1960,70.889999,2025-07-24
159,Australia,1961,71.160004,2025-07-24
160,Australia,1962,70.93,2025-07-24
161,Australia,1963,70.989998,2025-07-24
162,Australia,1964,70.650002,2025-07-24
163,Australia,1965,70.980003,2025-07-24
164,Australia,1966,70.82,2025-07-24
165,Australia,1967,71.099998,2025-07-24
166,Australia,1968,70.730003,2025-07-24
167,Australia,1969,71.139999,2025-07-24
168,Australia,1970,70.809998,2025-07-24
169,Australia,1971,71.410004,2025-07-24
170,Australia,1972,71.93,2025-07-24
171,Australia,1973,72.139999,2025-07-24
172,Australia,1974,71.889999,2025-07-24
173,Australia,1975,72.839996,2025-07-24
174,Australia,1976,72.879997,2025-07-24
175,Australia,1977,73.489998,2025-07-24
176,Australia,1978,73.879997,2025-07-24
177,Australia,1979,74.440002,2025-07-24
178,Australia,1980,74.599998,2025-07-24
179,Australia,1981,74.959999,2025-07-24
180,Australia,1982,74.739998,2025-07-24
181,Australia,1983,75.550003,2025-07-24
182,Australia,1984,76.019997,2025-07-24
183,Australia,1985,75.449997,2025-07-24
184,Australia,1986,76.129997,2025-07-24
185,Australia,1987,76.32,2025-07-24
186,Australia,1988,76.349998,2025-07-24
187,Australia,1989,76.449997,2025-07-24
188,Australia,1990,77.019997,2025-07-24
189,Australia,1991,77.389999,2025-07-24
190,Australia,1992,77.620003,2025-07-24
191,Australia,1993,77.889999,2025-07-24
192,Australia,1994,78.050003,2025-07-24
193,Australia,1995,78.300003,2025-07-24
194,Australia,1996,78.5,2025-07-24
195,Australia,1997,78.800003,2025-07-24
196,Australia,1998,79.110001,2025-07-24
197,Australia,1999,79.400002,2025-07-24
198,Australia,2000,79.709999,2025-07-24
199,Australia,2001,80.019997,2025-07-24
200,Australia,2002,80.239998,2025-07-24
201,Australia,2003,80.540001,2025-07-24
202,Australia,2004,80.809998,2025-07-24
203,Australia,2005,81.089996,2025-07-24
204,Australia,2006,81.269997,2025-07-24
