,Entity,Year,Life expectancy,process_date
1300,India,1800,25.4424,2025-07-24
1301,India,1801,25.4424,2025-07-24
1302,India,1802,25.0,2025-07-24
1303,India,1803,24.0,2025-07-24
1304,India,1804,23.5,2025-07-24
1305,India,1805,25.4424,2025-07-24
1306,India,1806,25.4424,2025-07-24
1307,India,1807,25.4424,2025-07-24
1308,India,1808,25.4424,2025-07-24
1309,India,1809,25.4424,2025-07-24
1310,India,1810,25.4424,2025-07-24
1311,India,1811,25.4424,2025-07-24
1312,India,1812,23.0,2025-07-24
1313,India,1813,25.4424,2025-07-24
1314,India,1814,25.4424,2025-07-24
1315,India,1815,25.4424,2025-07-24
1316,India,1816,25.4424,2025-07-24
1317,India,1817,25.4424,2025-07-24
1318,India,1818,25.4424,2025-07-24
1319,India,1819,25.4424,2025-07-24
1320,India,1820,25.4424,2025-07-24
1321,India,1821,25.4424,2025-07-24
1322,India,1822,25.4424,2025-07-24
1323,India,1823,25.4424,2025-07-24
1324,India,1824,25.4424,2025-07-24
1325,India,1825,25.4424,2025-07-24
1326,India,1826,25.4424,2025-07-24
1327,India,1827,25.4424,2025-07-24
1328,India,1828,25.4424,2025-07-24
1329,India,1829,25.4424,2025-07-24
1330,India,1830,25.4424,2025-07-24
1331,India,1831,25.4424,2025-07-24
1332,India,1832,23.0,2025-07-24
1333,India,1833,22.0,2025-07-24
1334,India,1834,25.4424,2025-07-24
1335,India,1835,25.4424,2025-07-24
1336,India,1836,25.4424,2025-07-24
1337,India,1837,24.299999,2025-07-24
1338,India,1838,23.9,2025-07-24
1339,India,1839,25.4424,2025-07-24
1340,India,1840,25.4424,2025-07-24
1341,India,1841,25.4424,2025-07-24
1342,India,1842,25.4424,2025-07-24
1343,India,1843,25.4424,2025-07-24
1344,India,1844,25.4424,2025-07-24
1345,India,1845,25.4424,2025-07-24
1346,India,1846,25.4424,2025-07-24
1347,India,1847,25.4424,2025-07-24
1348,India,1848,25.4424,2025-07-24
1349,India,1849,25.4424,2025-07-24
1350,India,1850,25.4424,2025-07-24
1351,India,1851,25.4424,2025-07-24
1352,India,1852,25.4424,2025-07-24
1353,India,1853,25.4424,2025-07-24
1354,India,1854,25.4424,2025-07-24
1355,India,1855,25.4424,2025-07-24
1356,India,1856,25.4424,2025-07-24
1357,India,1857,25.4424,2025-07-24
1358,India,1858,25.4424,2025-07-24
1359,India,1859,25.4424,2025-07-24
1360,India,1860,23.0,2025-07-24
1361,India,1861,22.0,2025-07-24
1362,India,1862,25.4424,2025-07-24
1363,India,1863,25.4424,2025-07-24
1364,India,1864,25.252296,2025-07-24
1365,India,1865,25.252296,2025-07-24
1366,India,1866,21.039825,2025-07-24
1367,India,1867,25.252296,2025-07-24
1368,India,1868,25.252296,2025-07-24
1369,India,1869,21.304474,2025-07-24
1370,India,1870,25.4424,2025-07-24
1371,India,1871,25.4424,2025-07-24
1372,India,1872,25.4424,2025-07-24
1373,India,1873,25.4424,2025-07-24
1374,India,1874,25.4424,2025-07-24
1375,India,1875,25.110001,2025-07-24
1376,India,1876,20.0,2025-07-24
1377,India,1877,19.0,2025-07-24
1378,India,1878,20.0,2025-07-24
1379,India,1879,25.4424,2025-07-24
1380,India,1880,25.4424,2025-07-24
1381,India,1881,25.4424,2025-07-24
1382,India,1882,25.3248,2025-07-24
1383,India,1883,25.207199,2025-07-24
1384,India,1884,25.0896,2025-07-24
1385,India,1885,24.972,2025-07-24
1386,India,1886,24.854401,2025-07-24
1387,India,1887,24.736799,2025-07-24
1388,India,1888,24.417561,2025-07-24
1389,India,1889,24.300924,2025-07-24
1390,India,1890,24.384001,2025-07-24
1391,India,1891,23.025278,2025-07-24
1392,India,1892,22.654757,2025-07-24
1393,India,1893,24.110241,2025-07-24
1394,India,1894,24.03216,2025-07-24
1395,India,1895,23.950001,2025-07-24
1396,India,1896,22.75,2025-07-24
1397,India,1897,19.85,2025-07-24
1398,India,1898,25.75,2025-07-24
1399,India,1899,23.35,2025-07-24
1400,India,1900,18.35,2025-07-24
1401,India,1901,23.049999,2025-07-24
1402,India,1902,23.6,2025-07-24
1403,India,1903,23.417761,2025-07-24
1404,India,1904,22.0,2025-07-24
1405,India,1905,21.9,2025-07-24
1406,India,1906,21.886934,2025-07-24
1407,India,1907,19.238894,2025-07-24
1408,India,1908,23.248159,2025-07-24
1409,India,1909,23.214239000000006,2025-07-24
1410,India,1910,23.180321,2025-07-24
1411,India,1911,23.1464,2025-07-24
1412,India,1912,23.338577,2025-07-24
1413,India,1913,23.530756,2025-07-24
1414,India,1914,23.722933,2025-07-24
1415,India,1915,23.915112,2025-07-24
1416,India,1916,24.107288,2025-07-24
1417,India,1917,24.299467,2025-07-24
1418,India,1918,8.1088362,2025-07-24
1419,India,1919,24.578934,2025-07-24
1420,India,1920,24.718666,2025-07-24
1421,India,1921,24.8584,2025-07-24
1422,India,1922,25.304001,2025-07-24
1423,India,1923,25.749599,2025-07-24
1424,India,1924,26.1952,2025-07-24
1425,India,1925,26.6408,2025-07-24
1426,India,1926,27.086399,2025-07-24
1427,India,1927,27.532,2025-07-24
1428,India,1928,27.9776,2025-07-24
1429,India,1929,28.423201,2025-07-24
1430,India,1930,28.868799,2025-07-24
1431,India,1931,29.3144,2025-07-24
1432,India,1932,29.642241,2025-07-24
1433,India,1933,29.970079,2025-07-24
1434,India,1934,30.29792,2025-07-24
1435,India,1935,30.625759,2025-07-24
1436,India,1936,30.9536,2025-07-24
1437,India,1937,31.281441,2025-07-24
1438,India,1938,31.60928,2025-07-24
1439,India,1939,31.93712,2025-07-24
1440,India,1940,32.264961,2025-07-24
1441,India,1941,32.5928,2025-07-24
1442,India,1942,32.841377,2025-07-24
1443,India,1943,32.099751,2025-07-24
1444,India,1944,32.596069,2025-07-24
1445,India,1945,33.587112,2025-07-24
1446,India,1946,33.83569,2025-07-24
1447,India,1947,32.378502000000005,2025-07-24
1448,India,1948,34.08567,2025-07-24
1449,India,1949,34.581421,2025-07-24
1450,India,1950,34.830002,2025-07-24
1451,India,1951,35.167,2025-07-24
1452,India,1952,35.842999,2025-07-24
1453,India,1953,36.521999,2025-07-24
1454,India,1954,37.203999,2025-07-24
1455,India,1955,37.889,2025-07-24
1456,India,1956,38.577999,2025-07-24
1457,India,1957,39.271,2025-07-24
1458,India,1958,39.969002,2025-07-24
1459,India,1959,40.674999,2025-07-24
1460,India,1960,41.390999,2025-07-24
1461,India,1961,42.118999,2025-07-24
1462,India,1962,42.860001,2025-07-24
1463,India,1963,43.612999,2025-07-24
1464,India,1964,44.375,2025-07-24
1465,India,1965,45.140999,2025-07-24
1466,India,1966,45.903,2025-07-24
1467,India,1967,46.654999,2025-07-24
1468,India,1968,47.394001,2025-07-24
1469,India,1969,48.118999,2025-07-24
1470,India,1970,48.835999,2025-07-24
1471,India,1971,49.554001,2025-07-24
1472,India,1972,50.280998,2025-07-24
1473,India,1973,51.014999,2025-07-24
1474,India,1974,51.75,2025-07-24
1475,India,1975,52.470001,2025-07-24
1476,India,1976,53.159,2025-07-24
1477,India,1977,53.799999,2025-07-24
1478,India,1978,54.382999,2025-07-24
1479,India,1979,54.903,2025-07-24
1480,India,1980,55.362999,2025-07-24
1481,India,1981,55.766998,2025-07-24
1482,India,1982,56.131001,2025-07-24
1483,India,1983,56.470001,2025-07-24
1484,India,1984,56.792,2025-07-24
1485,India,1985,57.102001,2025-07-24
1486,India,1986,57.400002,2025-07-24
1487,India,1987,57.687,2025-07-24
1488,India,1988,57.964001,2025-07-24
1489,India,1989,58.237999,2025-07-24
1490,India,1990,58.959999,2025-07-24
1491,India,1991,59.310001,2025-07-24
1492,India,1992,59.650002,2025-07-24
1493,India,1993,60.02,2025-07-24
1494,India,1994,60.380001,2025-07-24
1495,India,1995,60.73,2025-07-24
1496,India,1996,61.029999,2025-07-24
1497,India,1997,61.279999,2025-07-24
1498,India,1998,61.610001,2025-07-24
1499,India,1999,61.939999,2025-07-24
1500,India,2000,62.290001,2025-07-24
1501,India,2001,62.619999,2025-07-24
1502,India,2002,63.0,2025-07-24
1503,India,2003,63.400002,2025-07-24
1504,India,2004,63.77,2025-07-24
1505,India,2005,64.160004,2025-07-24
1506,India,2006,64.550003,2025-07-24
1507,India,2007,64.93,2025-07-24
1508,India,2008,65.32,2025-07-24
1509,India,2009,65.730003,2025-07-24
1510,India,2010,66.120003,2025-07-24
1511,India,2011,66.510002,2025-07-24
1512,India,2012,66.910004,2025-07-24
1513,India,2013,67.279999,2025-07-24
1514,India,2014,67.720001,2025-07-24
1515,India,2015,68.099998,2025-07-24
1516,India,2016,68.550003,2025-07-24
1517,Italy,1800,29.690001,2025-07-24
1518,Italy,1801,29.690001,2025-07-24
1519,Italy,1802,29.690001,2025-07-24
1520,Italy,1803,29.690001,2025-07-24
1521,Italy,1804,29.690001,2025-07-24
1522,Italy,1805,29.690001,2025-07-24
1523,Italy,1806,29.690001,2025-07-24
1524,Italy,1807,29.690001,2025-07-24
1525,Italy,1808,29.690001,2025-07-24
1526,Italy,1809,29.690001,2025-07-24
1527,Italy,1810,29.690001,2025-07-24
1528,Italy,1811,29.690001,2025-07-24
1529,Italy,1812,29.690001,2025-07-24
1530,Italy,1813,29.690001,2025-07-24
1531,Italy,1814,29.690001,2025-07-24
1532,Italy,1815,29.690001,2025-07-24
1533,Italy,1816,29.690001,2025-07-24
1534,Italy,1817,29.690001,2025-07-24
1535,Italy,1818,29.690001,2025-07-24
1536,Italy,1819,29.690001,2025-07-24
1537,Italy,1820,29.690001,2025-07-24
1538,Italy,1821,29.690001,2025-07-24
1539,Italy,1822,29.690001,2025-07-24
1540,Italy,1823,29.690001,2025-07-24
1541,Italy,1824,29.690001,2025-07-24
1542,Italy,1825,29.690001,2025-07-24
1543,Italy,1826,29.690001,2025-07-24
1544,Italy,1827,29.690001,2025-07-24
1545,Italy,1828,29.690001,2025-07-24
1546,Italy,1829,29.690001,2025-07-24
1547,Italy,1830,29.690001,2025-07-24
1548,Italy,1831,29.690001,2025-07-24
1549,Italy,1832,29.690001,2025-07-24
1550,Italy,1833,29.690001,2025-07-24
1551,Italy,1834,29.690001,2025-07-24
1552,Italy,1835,29.690001,2025-07-24
1553,Italy,1836,29.690001,2025-07-24
1554,Italy,1837,29.690001,2025-07-24
1555,Italy,1838,29.690001,2025-07-24
1556,Italy,1839,29.690001,2025-07-24
1557,Italy,1840,29.690001,2025-07-24
1558,Italy,1841,29.690001,2025-07-24
1559,Italy,1842,29.690001,2025-07-24
1560,Italy,1843,29.690001,2025-07-24
1561,Italy,1844,29.690001,2025-07-24
1562,Italy,1845,29.690001,2025-07-24
1563,Italy,1846,29.690001,2025-07-24
1564,Italy,1847,29.690001,2025-07-24
1565,Italy,1848,29.690001,2025-07-24
1566,Italy,1849,29.690001,2025-07-24
1567,Italy,1850,29.690001,2025-07-24
1568,Italy,1851,29.690001,2025-07-24
1569,Italy,1852,29.690001,2025-07-24
1570,Italy,1853,29.690001,2025-07-24
1571,Italy,1854,29.690001,2025-07-24
1572,Italy,1855,29.690001,2025-07-24
1573,Italy,1856,29.690001,2025-07-24
1574,Italy,1857,29.690001,2025-07-24
1575,Italy,1858,29.690001,2025-07-24
1576,Italy,1859,29.690001,2025-07-24
1577,Italy,1860,29.690001,2025-07-24
1578,Italy,1861,29.690001,2025-07-24
1579,Italy,1862,29.690001,2025-07-24
1580,Italy,1863,29.690001,2025-07-24
1581,Italy,1864,29.690001,2025-07-24
1582,Italy,1865,29.690001,2025-07-24
1583,Italy,1866,29.690001,2025-07-24
1584,Italy,1867,29.690001,2025-07-24
1585,Italy,1868,29.690001,2025-07-24
1586,Italy,1869,29.690001,2025-07-24
1587,Italy,1870,29.690001,2025-07-24
1588,Italy,1871,29.690001,2025-07-24
1589,Italy,1872,29.690001,2025-07-24
1590,Italy,1873,31.6,2025-07-24
1591,Italy,1874,31.75,2025-07-24
1592,Italy,1875,31.309999,2025-07-24
1593,Italy,1876,33.599998,2025-07-24
1594,Italy,1877,34.880001,2025-07-24
1595,Italy,1878,34.32,2025-07-24
1596,Italy,1879,33.950001,2025-07-24
1597,Italy,1880,32.740002000000004,2025-07-24
1598,Italy,1881,34.200001,2025-07-24
1599,Italy,1882,34.290001000000004,2025-07-24
1600,Italy,1883,35.18,2025-07-24
1601,Italy,1884,36.599998,2025-07-24
1602,Italy,1885,36.830002,2025-07-24
1603,Italy,1886,35.099998,2025-07-24
1604,Italy,1887,35.970001,2025-07-24
1605,Italy,1888,36.919998,2025-07-24
1606,Italy,1889,39.049999,2025-07-24
1607,Italy,1890,38.5,2025-07-24
1608,Italy,1891,38.459999,2025-07-24
1609,Italy,1892,38.84,2025-07-24
1610,Italy,1893,39.790001,2025-07-24
1611,Italy,1894,39.91,2025-07-24
1612,Italy,1895,39.610001,2025-07-24
1613,Italy,1896,40.700001,2025-07-24
1614,Italy,1897,43.290001,2025-07-24
1615,Italy,1898,42.330002,2025-07-24
1616,Italy,1899,43.669998,2025-07-24
1617,Italy,1900,41.66,2025-07-24
1618,Italy,1901,43.52,2025-07-24
1619,Italy,1902,42.990002,2025-07-24
1620,Italy,1903,43.150002,2025-07-24
1621,Italy,1904,44.43,2025-07-24
1622,Italy,1905,43.939999,2025-07-24
1623,Italy,1906,45.09,2025-07-24
1624,Italy,1907,45.450001,2025-07-24
1625,Italy,1908,43.189999,2025-07-24
1626,Italy,1909,44.669998,2025-07-24
1627,Italy,1910,46.75,2025-07-24
1628,Italy,1911,44.77,2025-07-24
1629,Italy,1912,48.98,2025-07-24
1630,Italy,1913,48.459999,2025-07-24
1631,Italy,1914,49.889999,2025-07-24
1632,Italy,1915,42.34,2025-07-24
1633,Italy,1916,39.27,2025-07-24
1634,Italy,1917,37.689999,2025-07-24
1635,Italy,1918,25.620001,2025-07-24
1636,Italy,1919,42.099998,2025-07-24
1637,Italy,1920,45.509998,2025-07-24
1638,Italy,1921,49.25,2025-07-24
1639,Italy,1922,50.009998,2025-07-24
1640,Italy,1923,51.450001,2025-07-24
1641,Italy,1924,51.509998,2025-07-24
1642,Italy,1925,51.310001,2025-07-24
1643,Italy,1926,50.959999,2025-07-24
1644,Italy,1927,52.580002,2025-07-24
1645,Italy,1928,52.669998,2025-07-24
1646,Italy,1929,52.290001,2025-07-24
1647,Italy,1930,55.200001,2025-07-24
1648,Italy,1931,54.779999,2025-07-24
1649,Italy,1932,54.77,2025-07-24
1650,Italy,1933,56.290001,2025-07-24
1651,Italy,1934,56.860001,2025-07-24
